Entry,Entry Name,Protein names,Gene Names,Gene Ontology (GO)
A0A0S2A5D6,A0A0S2A5D6_HUMAN,Growth differentiation factor 6,GDF6 hCG_15804,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; identical protein binding [GO:0042802]; apoptotic process [GO:0006915]; BMP signaling pathway [GO:0030509]; cell migration involved in metanephros development [GO:0035788]; epithelial cell migration [GO:0010631]; fat cell differentiation [GO:0045444]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of p38MAPK cascade [GO:1900745]; SMAD protein signal transduction [GO:0060395]
A0A0S2Z3E7,A0A0S2Z3E7_HUMAN,Brain-derived neurotrophic factor (BDNF),BDNF,axon [GO:0030424]; dendrite [GO:0030425]; extracellular space [GO:0005615]; synaptic vesicle [GO:0008021]; growth factor activity [GO:0008083]; nerve growth factor receptor binding [GO:0005163]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; memory [GO:0007613]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of neuron apoptotic process [GO:0043524]; nerve development [GO:0021675]; nerve growth factor signaling pathway [GO:0038180]; neuron projection morphogenesis [GO:0048812]; peripheral nervous system development [GO:0007422]; positive regulation of collateral sprouting [GO:0048672]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; regulation of neuron differentiation [GO:0045664]
A0A0S2Z3M9,A0A0S2Z3M9_HUMAN,Brain-derived neurotrophic factor (BDNF),BDNF,axon [GO:0030424]; dendrite [GO:0030425]; extracellular space [GO:0005615]; synaptic vesicle [GO:0008021]; growth factor activity [GO:0008083]; nerve growth factor receptor binding [GO:0005163]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; memory [GO:0007613]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of neuron apoptotic process [GO:0043524]; nerve development [GO:0021675]; nerve growth factor signaling pathway [GO:0038180]; neuron projection morphogenesis [GO:0048812]; peripheral nervous system development [GO:0007422]; positive regulation of collateral sprouting [GO:0048672]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; regulation of neuron differentiation [GO:0045664]
A0A0S2Z3R7,A0A0S2Z3R7_HUMAN,Interferon gamma receptor 1 isoform 2,IFNGR1,cytokine receptor activity [GO:0004896]
A0A0S2Z3T2,A0A0S2Z3T2_HUMAN,Glial cell derived neurotrophic factor isoform 2,GDNF,extracellular space [GO:0005615]; glial cell-derived neurotrophic factor receptor binding [GO:0030116]; growth factor activity [GO:0008083]; receptor tyrosine kinase binding [GO:0030971]; negative regulation of neuron apoptotic process [GO:0043524]; peripheral nervous system development [GO:0007422]; positive regulation of branching involved in ureteric bud morphogenesis [GO:0090190]
A0A0S2Z3V2,A0A0S2Z3V2_HUMAN,Glial cell line-derived neurotrophic factor,GDNF,extracellular space [GO:0005615]; glial cell-derived neurotrophic factor receptor binding [GO:0030116]; growth factor activity [GO:0008083]; receptor tyrosine kinase binding [GO:0030971]; branching involved in ureteric bud morphogenesis [GO:0001658]; commissural neuron axon guidance [GO:0071679]; dorsal spinal cord development [GO:0021516]; embryonic organ development [GO:0048568]; enteric nervous system development [GO:0048484]; mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003337]; negative regulation of neuron apoptotic process [GO:0043524]; organ induction [GO:0001759]; peristalsis [GO:0030432]; positive regulation of branching involved in ureteric bud morphogenesis [GO:0090190]; positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0072108]; postganglionic parasympathetic fiber development [GO:0021784]; postsynaptic membrane organization [GO:0001941]; regulation of semaphorin-plexin signaling pathway [GO:2001260]; sympathetic nervous system development [GO:0048485]; ureteric bud formation [GO:0060676]
A0A0S2Z3Y2,A0A0S2Z3Y2_HUMAN,Interferon gamma receptor 1 isoform 1,IFNGR1,plasma membrane [GO:0005886]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; type II interferon-mediated signaling pathway [GO:0060333]
A0A0S2Z485,A0A0S2Z485_HUMAN,Tyrosine-protein kinase (EC 2.7.10.2),JAK3,cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; growth hormone receptor binding [GO:0005131]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; cell differentiation [GO:0030154]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cytokine-mediated signaling pathway [GO:0019221]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; intracellular signal transduction [GO:0035556]; regulation of apoptotic process [GO:0042981]
A0A0S2Z4R6,A0A0S2Z4R6_HUMAN,Uteroglobin (Secretoglobin family 1A member 1),SCGB1A1,extracellular space [GO:0005615]; nuclear envelope [GO:0005635]; secretory granule [GO:0030141]; phospholipase A2 inhibitor activity [GO:0019834]; polychlorinated biphenyl binding [GO:0097160]; negative regulation of interleukin-13 production [GO:0032696]; negative regulation of interleukin-4 production [GO:0032713]; negative regulation of interleukin-5 production [GO:0032714]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; regulation of inflammatory response [GO:0050727]; regulation of mRNA stability [GO:0043488]; response to cytokine [GO:0034097]; response to fibroblast growth factor [GO:0071774]; response to glucocorticoid [GO:0051384]; response to lipopolysaccharide [GO:0032496]; response to ozone [GO:0010193]; response to silicon dioxide [GO:0034021]; response to xenobiotic stimulus [GO:0009410]; signal transduction [GO:0007165]; T cell proliferation [GO:0042098]
A0A0S2Z4R7,A0A0S2Z4R7_HUMAN,Janus kinase 3,JAK3,cytoskeleton [GO:0005856]; endomembrane system [GO:0012505]; membrane [GO:0016020]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; cytokine-mediated signaling pathway [GO:0019221]; intracellular signal transduction [GO:0035556]
A0A0S2Z4Z8,A0A0S2Z4Z8_HUMAN,Receptor-interacting serine-threonine kinase 2 isoform 1,RIPK2,"cytosol [GO:0005829]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; adaptive immune response [GO:0002250]; canonical NF-kappaB signal transduction [GO:0007249]; CD4-positive, alpha-beta T cell proliferation [GO:0035739]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to muramyl dipeptide [GO:0071225]; cellular response to peptidoglycan [GO:0071224]; cytokine-mediated signaling pathway [GO:0019221]; defense response to Gram-positive bacterium [GO:0050830]; ERK1 and ERK2 cascade [GO:0070371]; immature T cell proliferation in thymus [GO:0033080]; innate immune response [GO:0045087]; JNK cascade [GO:0007254]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; nucleotide-binding oligomerization domain containing 1 signaling pathway [GO:0070427]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine-mediated signaling pathway [GO:0001961]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of immature T cell proliferation in thymus [GO:0033092]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of stress-activated MAPK cascade [GO:0032874]; positive regulation of T-helper 1 cell differentiation [GO:0045627]; positive regulation of T-helper 1 type immune response [GO:0002827]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type II interferon production [GO:0032729]; positive regulation of xenophagy [GO:1904417]; response to exogenous dsRNA [GO:0043330]; response to interleukin-1 [GO:0070555]; response to interleukin-12 [GO:0070671]; response to interleukin-18 [GO:0070673]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; toll-like receptor 4 signaling pathway [GO:0034142]; xenophagy [GO:0098792]"
A0A0S2Z595,A0A0S2Z595_HUMAN,FOS-like antigen 1 isoform 1,FOSL1,"nucleoplasm [GO:0005654]; presynaptic membrane [GO:0042734]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; promoter-specific chromatin binding [GO:1990841]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; cellular response to extracellular stimulus [GO:0031668]; cytokine-mediated signaling pathway [GO:0019221]; female pregnancy [GO:0007565]; gene expression [GO:0010467]; in utero embryonic development [GO:0001701]; inflammatory response [GO:0006954]; learning [GO:0007612]; negative regulation of cell population proliferation [GO:0008285]; placenta blood vessel development [GO:0060674]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell cycle [GO:0045787]; response to cAMP [GO:0051591]; response to corticosterone [GO:0051412]; response to gravity [GO:0009629]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; response to progesterone [GO:0032570]; response to wounding [GO:0009611]; response to xenobiotic stimulus [GO:0009410]; toll-like receptor signaling pathway [GO:0002224]; vitellogenesis [GO:0007296]"
A0A0S2Z5Q1,A0A0S2Z5Q1_HUMAN,C-type lectin domain family 7 member A isoform 1,CLEC7A,"cell surface [GO:0009986]; membrane [GO:0016020]; (1->3)-beta-D-glucan binding [GO:0001872]; pattern recognition receptor activity [GO:0038187]; cellular response to molecule of fungal origin [GO:0071226]; detection of fungus [GO:0016046]; detection of molecule of fungal origin [GO:0032491]; phagocytosis, recognition [GO:0006910]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of killing of cells of another organism [GO:0051712]; positive regulation of lymphocyte activation [GO:0051251]; positive regulation of phagocytosis [GO:0050766]; positive regulation of wound healing [GO:0090303]"
A0A0U1RQU9,A0A0U1RQU9_HUMAN,Interleukin 20 receptor subunit alpha,IL20RA,membrane [GO:0016020]
A0A0U1RRA1,A0A0U1RRA1_HUMAN,Interleukin 20 receptor subunit alpha,IL20RA,
A0A0U1SHW4,A0A0U1SHW4_HUMAN,Interferon receptor 1 isoform 4,,interferon receptor activity [GO:0004904]; interleukin-10 receptor activity [GO:0004920]
A0A0U1UAT8,A0A0U1UAT8_HUMAN,Interferon receptor 1 isoform 2,,endosome [GO:0005768]; lysosome [GO:0005764]; type I interferon receptor activity [GO:0004905]
A0A0U1UAT9,A0A0U1UAT9_HUMAN,Interferon receptor 1 isoform 3,,endosome [GO:0005768]; lysosome [GO:0005764]; type I interferon receptor activity [GO:0004905]
A0A0U1UAU5,A0A0U1UAU5_HUMAN,Interferon receptor 1 isoform 1,,endosome [GO:0005768]; lysosome [GO:0005764]; type I interferon receptor activity [GO:0004905]
A0A0U2N547,A0A0U2N547_HUMAN,Mast/stem cell growth factor receptor (EC 2.7.10.1),KIT,fibrillar center [GO:0001650]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Fc receptor signaling pathway [GO:0038093]; Kit signaling pathway [GO:0038109]; positive regulation of phosphate metabolic process [GO:0045937]; positive regulation of protein modification process [GO:0031401]
A0A0U4ARJ3,A0A0U4ARJ3_HUMAN,Immunoglobulin-like receptor subfamily A member 5,LILRA5,plasma membrane [GO:0005886]; inhibitory MHC class I receptor activity [GO:0032396]; cytokine-mediated signaling pathway [GO:0019221]
A0A0U5EM55,A0A0U5EM55_HUMAN,Tumor necrosis factor ligand superfamily member,TNLG6A,extracellular space [GO:0005615]; membrane [GO:0016020]; cytokine activity [GO:0005125]; metal ion binding [GO:0046872]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]
A0A0U5EM56,A0A0U5EM56_HUMAN,Tumor necrosis factor ligand 7B,TNLG7B,extracellular space [GO:0005615]; membrane [GO:0016020]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]; positive regulation of isotype switching to IgA isotypes [GO:0048298]
A0A0U5J4P8,A0A0U5J4P8_HUMAN,Tumor necrosis factor ligand 1D,TNLG1D,membrane [GO:0016020]; tumor necrosis factor receptor binding [GO:0005164]; cell communication [GO:0007154]; immune response [GO:0006955]; signaling [GO:0023052]
A0A0U5J6H2,A0A0U5J6H2_HUMAN,Lymphotoxin-beta (Tumor necrosis factor C) (Tumor necrosis factor ligand superfamily member 3),TNLG1C,extracellular space [GO:0005615]; membrane [GO:0016020]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]
A0A0U5J8I0,A0A0U5J8I0_HUMAN,"Tumor necrosis factor (Ligand) superfamily, member 9, isoform CRA_a (Tumor necrosis factor ligand 5A)",TNLG5A TNFSF9 hCG_23042,extracellular space [GO:0005615]; plasma membrane [GO:0005886]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of cytotoxic T cell differentiation [GO:0045585]
A0A0U5JA19,A0A0U5JA19_HUMAN,Tumor necrosis factor ligand 1B,TNLG1B,membrane [GO:0016020]; tumor necrosis factor receptor binding [GO:0005164]; cell communication [GO:0007154]; immune response [GO:0006955]; signaling [GO:0023052]
A0A0U5JA32,A0A0U5JA32_HUMAN,Tumor necrosis factor ligand 8A,TNLG8A,extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
A0A0Y0IMM4,A0A0Y0IMM4_HUMAN,Vascular permeability factor,,extracellular space [GO:0005615]; membrane [GO:0016020]; chemoattractant activity [GO:0042056]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; vascular endothelial growth factor receptor 1 binding [GO:0043183]; vascular endothelial growth factor receptor 2 binding [GO:0043184]; cell differentiation [GO:0030154]; induction of positive chemotaxis [GO:0050930]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell division [GO:0051781]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of mast cell chemotaxis [GO:0060754]; positive regulation of protein phosphorylation [GO:0001934]; response to hypoxia [GO:0001666]; sprouting angiogenesis [GO:0002040]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vascular endothelial growth factor signaling pathway [GO:0038084]
A0A0Y0J542,A0A0Y0J542_HUMAN,Vascular endothelial growth factor A121,,extracellular space [GO:0005615]; membrane [GO:0016020]; chemoattractant activity [GO:0042056]; growth factor activity [GO:0008083]; vascular endothelial growth factor receptor 1 binding [GO:0043183]; vascular endothelial growth factor receptor 2 binding [GO:0043184]; induction of positive chemotaxis [GO:0050930]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell division [GO:0051781]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of mast cell chemotaxis [GO:0060754]; positive regulation of protein phosphorylation [GO:0001934]; response to hypoxia [GO:0001666]; sprouting angiogenesis [GO:0002040]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vascular endothelial growth factor signaling pathway [GO:0038084]
A0A140G956,A0A140G956_HUMAN,Bone morphogenetic protein 4 preproprotein,BMP4,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; BMP signaling pathway [GO:0030509]
A0A140JSW6,A0A140JSW6_HUMAN,Leukocyte immunoglobulin-like receptor subfamily B member 2,LILRB2,plasma membrane [GO:0005886]; inhibitory MHC class I receptor activity [GO:0032396]; cytokine-mediated signaling pathway [GO:0019221]
A0A140T922,A0A140T922_HUMAN,"Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]",TNF,extracellular space [GO:0005615]; plasma membrane [GO:0005886]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]; necroptotic signaling pathway [GO:0097527]; regulation of biological quality [GO:0065008]; regulation of developmental process [GO:0050793]; regulation of multicellular organismal process [GO:0051239]; regulation of secretion [GO:0051046]; vascular endothelial growth factor production [GO:0010573]
